PRIMARY_KEY,Employer_category,employee_count,Pay,Economic_sector,TYPE_OF_CONTRACT,WORK_CONDITION,labor_force_status,WORKING_HOURS,work_description,JOB_DEP
39963,"ct_9","tr_3",4940,"FZ","CDD","C","O",611,"633d","45"
39966,"ct_8","tr_4",12936,"QB","CDI","C","O",1790,"525d","45"
39979,"ct_9","tr_6",24287,"CI","CDI","C","O",1657,"653a","45"
39980,"ct_9","tr_1",15275,"CA","CDI","C","O",1724,"554a","45"
39982,"ct_9","tr_3",22497,"FZ","CDI","C","O",1105,"481b","45"
39983,"ct_9","tr_5",26140,"HZ","CDI","C","O",2186,"641a","49"
39985,"ct_7","tr_1",19919,"QB","CDI","N","O",3000,"563a","45"
40003,"ct_9","tr_1",7926,"HZ","CDI","C","O",464,"466c","45"
40005,"ct_9","tr_2",8081,"GZ","CDI","C","O",1271,"552a","45"
40006,"ct_8","tr_0",13260,"QB","CDI","C","O",1560,"563b","45"
40007,"ct_9","tr_6",20899,"HZ","CDI","P","O",997,"676c","45"
40009,"ct_9","tr_5",54192,"CM","CDI","C","O",1359,"384a","94"
40023,"ct_9","tr_3",29752,"GZ","CDI","C","O",2113,"653a","45"
40032,"ct_9","tr_3",30504,"GZ","CDI","C","O",1756,"385c","45"
40034,NA,NA,3752,"IZ","CDI","C","O",308,"525d","45"
40035,"ct_9","tr_6",41536,"CL","CDI","C","O",1477,"372a","36"
40041,"ct_3","tr_6",27969,"QA","AUT","C","O",1848,"431e","45"
40050,"ct_9","tr_6",29789,"CF","CDI","C","O",1820,"461f","45"
40054,"ct_4","tr_3",29186,"SZ","CDI","P","O",910,"524c","45"
40055,"ct_9","tr_1",12588,"NZ","TTP","C","O",1073,"671c","45"
40057,"ct_9","tr_2",23487,"DZ","CDI","C","O",1822,"485a","45"
40063,"ct_9","tr_5",41848,"FZ","CDI","C","O",1820,"382c","45"
40067,"ct_9","tr_3",19480,"CL","CDI","C","O",1697,"673c","45"
40069,"ct_9","tr_4",19754,"FZ","CDI","C","O",1476,"681a","45"
40072,"ct_9","tr_1",23394,"MA","CDI","C","O",2028,"542a","45"
40077,"ct_8","tr_3",29735,"QB","CDI","C","O",1773,"434a","45"
40079,"ct_9","tr_6",21839,"HZ","CDI","C","O",1825,"451a","45"
40099,"ct_8","tr_0",23936,"QB","CDI","C","O",1828,"631a","45"
40106,"ct_9","tr_6",26887,"NZ","CDI","C","O",1820,"534a","45"
40120,"ct_9","tr_4",12650,"NZ","CDI","C","O",1421,"676c","45"
40130,"ct_9","tr_1",5678,"IZ","CDI","C","O",456,"561c","45"
40131,"ct_9","tr_4",26643,"QB","CDI","C","O",1907,"526a","45"
40133,"ct_9","tr_2",23907,"NZ","CDI","C","O",2052,"372c","45"
40147,"ct_9","tr_2",37301,"CH","CDI","C","O",2173,"676c","45"
40154,"ct_9","tr_6",19065,"CJ","CDI","C","O",1701,"674d","45"
40156,"ct_7","tr_1",13845,"QB","CDI","N","O",3000,"563a","45"
40159,"ct_9","tr_5",15521,"NZ","CDI","C","O",1628,"684a","45"
40173,"ct_9","tr_1",13401,"QA","CDI","C","O",1483,"542a","45"
40179,"ct_9","tr_0",12270,"CG","APP","C","A",1447,"685a","55"
40187,"ct_7","tr_1",33442,"QB","CDI","N","O",3000,"563a","45"
40192,"ct_9","tr_6",33816,"QA","CDI","C","O",1820,"431e","41"
40193,"ct_9","tr_5",37681,"GZ","CDI","C","O",1820,"374a","45"
40196,"ct_9","tr_4",13626,"NZ","CDI","C","O",1603,"676e","45"
40201,"ct_9","tr_1",21407,"IZ","CDI","C","O",1007,"377a","45"
40214,"ct_9","tr_1",25065,"GZ","CDI","C","O",1705,"433b","45"
40217,"ct_9","tr_5",32045,"EZ","CDI","C","O",2009,"486d","45"
40225,"ct_8","tr_3",2571,"QB","CDD","C","O",277,"434e","45"
40227,"ct_9","tr_6",14748,"HZ","CDI","P","O",910,"451a","45"
40235,"ct_9","tr_4",28930,"FZ","CDI","C","O",1689,"481b","45"
40238,"ct_9","tr_1",16677,"FZ","CDI","C","O",1820,"632a","45"
40243,"ct_9","tr_1",15981,"GZ","CDI","P","O",924,"461b","45"
40244,"ct_9","tr_1",28082,"QA","CDI","C","O",1815,"526b","45"
40255,"ct_9","tr_3",46885,"JC","CDI","C","O",1824,"388a","45"
40261,"ct_9","tr_4",18515,"CI","CDI","C","O",1606,"622e","45"
40270,"ct_7","tr_1",7705,"QB","CDI","N","O",1918,"563a","45"
40272,"ct_9","tr_0",10247,"PZ","CDI","C","O",872,"543h","30"
40273,"ct_3","tr_6",21595,"QA","CDI","C","O",1820,"434c","45"
40276,"ct_1","tr_4",26387,"PZ","CDI","C","O",2000,"422a","77"
40279,"ct_9","tr_1",25403,"GZ","CDI","C","O",2124,"542a","41"
40283,"ct_9","tr_3",28749,"JC","CDI","C","O",1564,"388a","45"
40298,"ct_9","tr_1",20838,"CH","CDI","C","O",1930,"673a","45"
40304,"ct_8","tr_3",17609,"QB","CDI","C","X",1731,"434d","45"
40308,"ct_9","tr_6",24540,"HZ","CDI","C","O",2195,"641a","61"
40329,"ct_9","tr_6",25182,"CG","CDI","C","O",1899,"475a","45"
40330,"ct_9","tr_3",20672,"FZ","CDI","C","O",1820,"632j","45"
40332,"ct_9","tr_3",8810,"NZ","CDI","C","O",1106,"534a","94"
40336,"ct_9","tr_3",8357,"NZ","TTP","P","O",591,"676c","45"
40337,"ct_9","tr_1",12633,"CA","CDI","P","O",1592,"554a","45"
40341,"ct_7","tr_1",14719,"QB","CDI","N","O",3000,"563a","45"
40344,"ct_9","tr_0",23639,"MC","CDI","C","O",666,"634d","75"
40348,"ct_9","tr_3",14203,"HZ","CDI","P","O",1531,"643a","45"
40360,"ct_9","tr_6",17189,"KZ","CDI","C","O",1444,"545b","45"
40363,"ct_9","tr_4",11712,"QB","CDI","C","O",1750,"563c","45"
40377,"ct_9","tr_2",28447,"OZ","CDI","C","O",1792,"472c","45"
40393,"ct_9","tr_1",8398,"CH","CDI","P","O",428,"634b","45"
40398,"ct_9","tr_6",30311,"KZ","CDI","C","O",1826,"467c","45"
40403,"ct_9","tr_4",14808,"QB","CDI","C","O",1407,"525d","89"
40404,"ct_9","tr_2",7936,"NZ","CDI","P","A",495,"684a","45"
40408,"ct_9","tr_6",12876,"NZ","CDI","C","O",1472,"534a","45"
40416,"ct_9","tr_1",22043,"GZ","CDI","C","O",1832,"433d","45"
40421,"ct_9","tr_5",19876,"GZ","CDI","C","O",1911,"551a","45"
40430,"ct_9","tr_4",3750,"QB","CDI","P","O",396,"563a","45"
40434,"ct_9","tr_6",28995,"CE","CDI","C","O",1740,"652a","45"
40444,"ct_9","tr_4",25111,"CL","CDI","C","O",1649,"543f","45"
40445,"ct_9","tr_3",20886,"FZ","CDI","C","O",1632,"543b","45"
40448,"ct_8","tr_3",4237,"QB","CDI","P","O",399,"563b","45"
40453,"ct_8","tr_3",17477,"QA","CDI","P","O",1439,"526a","45"
40459,"ct_9","tr_4",6096,"CI","CDI","P","O",717,"676e","45"
40467,"ct_9","tr_2",24962,"HZ","CDI","C","O",1731,"543b","45"
40476,"ct_9","tr_3",20304,"PZ","CDI","C","O",861,"423b","45"
40477,"ct_2","tr_3",19410,"OZ","AUT","C","O",1819,"524c","45"
40481,"ct_1","tr_5",41232,"PZ","CDI","C","O",2777,"422a","93"
40483,"ct_1","tr_3",26613,"PZ","CDI","C","O",1820,"422a","45"
40491,"ct_8","tr_6",18077,"OZ","CDI","P","O",1308,"545d","45"
40495,"ct_9","tr_6",23241,"GZ","APP","C","A",1854,"683a","37"
40496,"ct_3","tr_6",8757,"QA","CDD","C","O",658,"632k","45"
40499,"ct_9","tr_1",20318,"NZ","TTP","C","O",1763,"625c","45"
40517,"ct_9","tr_1",19295,"KZ","CDI","P","O",1491,"542a","45"
40531,"ct_9","tr_1",6164,"QA","CDI","C","O",425,"526e","77"
40533,"ct_9","tr_3",31618,"QA","CDI","C","O",1844,"431f","91"
40539,"ct_9","tr_4",29275,"JC","CDI","C","O",1701,"478c","91"
40547,"ct_9","tr_4",28503,"CC","CDI","C","O",1835,"628g","45"
40556,"ct_9","tr_6",23800,"GZ","CDI","C","O",1830,"543b","45"
40578,"ct_1","tr_5",55736,"PZ","CDI","C","O",1834,"342b","91"
40588,"ct_9","tr_4",20937,"QB","CDI","P","O",1696,"525d","45"
40593,"ct_3","tr_6",7512,"QA","CDI","P","O",1092,"311d","45"
40597,"ct_9","tr_1",34102,"CM","CDI","C","O",1497,"387d","45"
40605,"ct_9","tr_4",28679,"HZ","CDI","C","O",2200,"641a","45"
40611,"ct_9","tr_6",38398,"KZ","CDI","C","O",1820,"467a","45"
40621,"ct_9","tr_6",31251,"MA","CDI","C","O",1930,"477b","13"
40624,"ct_7","tr_1",13670,"QB","CDI","N","O",3000,"563a","45"
40625,"ct_3","tr_6",19529,"QA","AUT","C","O",1819,"523d","45"
40628,"ct_9","tr_6",34276,"KZ","CDI","C","O",1837,"478c","45"
40629,"ct_9","tr_6",39248,"HZ","CDI","C","O",1664,"333f","94"
40633,"ct_7","tr_1",20898,"QB","CDI","N","O",3000,"563a","45"
40637,"ct_9","tr_6",44519,"DZ","CDI","C","O",2028,"477d","45"
40638,NA,"tr_1",1661,"NZ","CDD","C","O",161,"676a","45"
40641,"ct_9","tr_4",32868,"MA","CDI","C","O",1862,"461f","13"
40650,"ct_9","tr_6",31010,"CG","CDI","C","O",1928,"674a","45"
40653,"ct_9","tr_6",46892,"CL","CDI","C","O",1816,"477b","93"
40665,"ct_9","tr_2",18346,"GZ","CDI","C","O",1559,"487b","45"
40666,"ct_9","tr_6",48120,"DZ","CDI","C","O",1815,"477c","18"
40668,"ct_8","tr_1",30665,"PZ","CDI","C","O",1820,"421b","45"
40680,"ct_9","tr_5",17737,"HZ","CDI","C","O",1820,"676c","45"
40685,"ct_9","tr_3",25920,"FZ","CDI","C","O",1598,"637d","45"
40689,"ct_9","tr_6",28509,"CE","CDI","C","O",1769,"676c","45"
40693,"ct_9","tr_6",37211,"CK","CDI","C","O",1864,"384a","45"
40694,"ct_8","tr_3",29058,"QB","CDI","C","O",1820,"434d","45"
40695,"ct_9","tr_2",17671,"HZ","CDI","P","O",1323,"451a","45"
40698,"ct_8","tr_5",19173,"QB","APP","C","A",1787,"434e","45"
40701,"ct_9","tr_2",13092,"GZ","CDI","C","O",1447,"653a","45"
40710,"ct_8","tr_1",69109,"QA","CDI","C","O",2683,"431f","94"
40713,"ct_9","tr_1",15408,"GZ","CDI","P","O",1109,"554f","45"
40714,"ct_9","tr_6",25393,"CG","CDI","C","O",623,"483a","77"
40716,"ct_9","tr_3",45085,"MA","CDI","C","O",1865,"477b","45"
40722,"ct_9","tr_3",20047,"NZ","CDI","C","O",1824,"433a","45"
40725,"ct_8","tr_1",17699,"QB","CDI","C","O",1603,"434b","45"
40726,"ct_8","tr_2",19490,"QB","CDI","C","O",1830,"525d","45"
40733,"ct_9","tr_3",22537,"HZ","CDI","C","O",1831,"333c","45"
40736,"ct_3","tr_6",22102,"QA","AUT","C","O",1819,"523d","45"
40748,"ct_9","tr_1",15289,"NZ","CDI","C","O",1596,"691e","45"
40750,"ct_9","tr_6",32184,"HZ","CDI","C","O",1820,"333c","45"
40754,"ct_8","tr_1",22243,"PZ","CDI","C","O",1820,"421b","45"
40774,"ct_9","tr_6",42761,"CE","CDI","C","O",1827,"477d","45"
40782,"ct_1","tr_4",30029,"OZ","CDI","C","O",1820,"461f","45"
40784,"ct_9","tr_5",46112,"QB","CDI","C","O",2547,"526a","91"
40788,NA,NA,1952,"OZ","CDI","C","O",143,"525c","93"
40793,"ct_9","tr_2",32436,"MA","CDI","C","O",1583,"372e","45"
40796,"ct_9","tr_4",16201,"HZ","CDI","C","O",1343,"533c","45"
40802,"ct_9","tr_3",43440,"GZ","CDI","C","O",1820,"388c","41"
40805,NA,NA,2236,"TZ","CDI","P","O",217,"563c","45"
40806,"ct_9","tr_6",21784,"NZ","CDI","P","O",1427,"461f","75"
40808,"ct_8","tr_6",23495,"OZ","CDI","C","O",2044,"545d","45"
40809,"ct_9","tr_3",38640,"GZ","CDI","C","O",2028,"551a","45"
40813,"ct_9","tr_2",22274,"CA","CDI","C","O",1549,"643a","45"
40816,"ct_9","tr_1",17515,"MA","CDI","C","O",920,"374d","75"
40817,"ct_9","tr_2",19527,"CC","CDI","C","O",1575,"676c","91"
40827,"ct_9","tr_1",14722,"SZ","CDI","C","O",1526,"562b","91"
40838,NA,NA,23419,"TZ","CDI","C","O",2081,"563c","45"
40840,"ct_9","tr_6",25203,"HZ","CDI","C","O",2195,"641a","61"
40844,"ct_9","tr_1",20105,"FZ","CDD","C","O",1671,"681b","45"
40847,"ct_9","tr_4",4991,"EZ","CDI","P","O",469,"684a","45"
40856,"ct_7","tr_1",5007,"TZ","CDI","N","O",269,"563c","45"
40857,"ct_9","tr_3",21186,"GZ","CDI","C","O",1770,"676a","45"
40861,"ct_9","tr_4",13908,"GZ","CDI","C","O",1041,"652a","45"
40865,"ct_9","tr_4",13912,"HZ","CDI","C","O",1099,"543g","77"
40871,"ct_9","tr_1",16529,"GZ","CDI","C","O",1464,"676a","45"
40880,"ct_2","tr_1",16799,"OZ","CDI","C","O",1820,"524c","46"
40886,"ct_9","tr_5",13813,"GZ","CDI","P","O",1125,"552a","46"
40893,"ct_9","tr_2",19498,"GZ","CDI","P","O",1336,"543b","46"
40902,"ct_9","tr_2",12699,"HZ","CDI","C","O",1476,"643a","82"
40943,"ct_9","tr_4",37782,"CF","CDI","C","O",1631,"385a","46"
40952,"ct_9","tr_6",23064,"CA","CDI","C","O",1630,"475a","46"
40953,"ct_9","tr_1",10776,"GZ","CDI","P","O",685,"373d","46"
40973,"ct_8","tr_4",19341,"QB","CDD","C","O",1545,"431f","46"
40977,"ct_9","tr_6",12513,"KZ","CDI","C","O",1256,"467c","31"
40979,"ct_8","tr_6",5340,"NZ","TOA","C","O",621,"691c","44"
40984,"ct_9","tr_5",35032,"CH","CDI","C","O",2123,"474a","46"
40992,"ct_9","tr_4",17605,"GZ","CDI","C","O",1911,"552a","46"
40999,"ct_9","tr_1",14736,"GZ","CDI","C","O",1849,"554a","46"
41001,"ct_9","tr_6",10209,"JC","CDI","C","O",1435,"672a","78"
41002,"ct_9","tr_2",16884,"GZ","CDI","C","O",1875,"552a","47"
41005,"ct_8","tr_5",18969,"QB","CDI","C","O",1820,"434f","46"
41013,"ct_9","tr_1",16251,"FZ","CDI","C","O",1687,"632c","46"
41016,"ct_3","tr_6",34632,"QA","AUT","C","O",1820,"526a","46"
41021,"ct_2","tr_2",9492,"PZ","AUT","C","O",817,"421b","46"
41045,"ct_9","tr_3",24464,"BZ","CDI","C","O",1505,"621g","46"
41048,"ct_9","tr_5",11703,"HZ","CDI","N","O",929,"525d","54"
41052,"ct_9","tr_4",21658,"HZ","CDI","C","O",2200,"643a","46"
41068,"ct_9","tr_5",37461,"CI","CDI","P","O",1610,"387d","31"
41072,"ct_8","tr_6",17785,"QA","CDI","C","O",1517,"526a","46"
41100,"ct_3","tr_6",26118,"QA","CDI","C","O",1823,"431e","46"
41108,"ct_9","tr_1",22046,"CA","CDI","C","O",2180,"636a","46"
41111,"ct_9","tr_1",14614,"FZ","CDI","C","O",1715,"632a","46"
41114,"ct_9","tr_1",19651,"HZ","CDI","C","O",1647,"526e","46"
41120,"ct_9","tr_1",10595,"GZ","CDI","C","O",1110,"553c","46"
41125,"ct_9","tr_2",23748,"QA","CDI","C","O",2200,"526e","47"
41135,"ct_9","tr_6",19431,"QA","CDI","C","O",1734,"525d","47"
41136,"ct_6","tr_1",16411,"MA","CDI","C","O",1846,"563a","47"
41146,"ct_3","tr_6",22105,"QA","AUT","C","O",1820,"526a","47"
41148,"ct_9","tr_4",24894,"CA","CDI","C","O",1820,"484a","47"
41149,"ct_7","tr_1",20892,"QB","CDI","N","O",2664,"563b","47"
41151,"ct_9","tr_1",26760,"KZ","CDI","C","O",1820,"542a","47"
41158,"ct_6","tr_1",6240,"HZ","CDI","C","O",668,"526e","47"
41167,"ct_9","tr_2",27294,"HZ","CDI","C","O",2200,"641a","47"
41169,"ct_9","tr_1",17210,"GZ","CDI","C","O",1820,"554c","47"
41175,"ct_9","tr_1",21478,"CA","CDI","C","O",1820,"543g","47"
41195,"ct_9","tr_1",22682,"GZ","CDI","C","O",1877,"551a","47"
41210,"ct_9","tr_1",22355,"GZ","CDI","C","O",1899,"462b","47"
41212,"ct_9","tr_3",75612,"KZ","CDI","C","O",2116,"431a","47"
41225,"ct_9","tr_5",13747,"HZ","CDI","N","O",1085,"534a","54"
41230,"ct_1","tr_5",35133,"OZ","CDI","C","O",1820,"461f","47"
41236,"ct_8","tr_4",16816,"QB","CDI","C","O",1724,"526d","47"
41239,"ct_6","tr_1",9131,"SZ","CDI","P","O",1102,"562b","82"
41242,"ct_8","tr_0",11936,"NZ","TOA","C","O",1069,"691e","47"
41247,"ct_9","tr_1",27502,"GZ","CDI","C","O",1823,"433d","47"
41249,"ct_9","tr_1",16328,"NZ","TTP","C","O",1647,"478d","47"
41254,"ct_3","tr_4",14769,"QB","CDI","P","O",1421,"525d","47"
41261,"ct_9","tr_1",13252,"NZ","TTP","C","O",1244,"653a","47"
41264,"ct_9","tr_1",8127,"SZ","CDI","C","O",1080,"562b","47"
41273,"ct_9","tr_2",13801,"FZ","CDI","C","O",1192,"632c","47"
41279,"ct_9","tr_1",25526,"FZ","CDI","C","O",1703,"681a","47"
41282,"ct_9","tr_1",17237,"MA","CDI","C","O",1664,"634c","82"
41283,"ct_9","tr_6",43529,"KZ","CDI","C","O",1778,"467a","92"
41290,"ct_9","tr_1",16424,"FZ","CDI","C","O",1731,"472a","47"
41294,"ct_9","tr_1",25977,"FZ","CDI","C","O",1401,"462d","47"
41311,"ct_9","tr_3",19455,"FZ","CDI","C","O",1631,"633a","33"
41317,"ct_9","tr_5",29993,"GZ","CDI","C","O",1820,"462b","47"
41322,"ct_9","tr_1",13347,"QA","CDI","P","O",1401,"526b","47"
41324,"ct_3","tr_6",20604,"QA","CDI","C","O",1820,"526a","47"
41325,"ct_8","tr_4",15562,"QB","CDI","C","O",1248,"526d","47"
41329,"ct_9","tr_6",23822,"QA","CDI","C","O",1771,"526a","47"
41341,"ct_8","tr_6",22828,"QA","CDI","C","O",1820,"526d","24"
41353,"ct_8","tr_1",7220,"QA","CDI","P","O",471,"526a","47"
41360,"ct_9","tr_6",38264,"CF","CDI","C","O",1820,"477a","47"
41366,"ct_9","tr_1",12574,"FZ","CDI","C","O",1645,"554b","47"
41372,"ct_9","tr_6",26487,"CF","CDI","C","O",1820,"652a","47"
41374,"ct_8","tr_3",21397,"QB","CDI","C","O",1648,"525d","47"
41375,"ct_8","tr_2",4122,"QA","CDD","P","O",468,"526a","47"
41380,NA,NA,5697,"TZ","CDI","P","O",275,"563c","47"
41381,"ct_9","tr_1",12761,"IZ","CDI","C","O",1250,"554a","47"
41386,"ct_9","tr_2",13805,"NZ","CDI","C","O",1071,"477b","32"
41402,"ct_9","tr_3",5227,"GZ","CDI","P","O",556,"551a","47"
41417,"ct_1","tr_6",8838,"OZ","CDD","P","O",1092,"422e","47"
41427,"ct_3","tr_4",27783,"QB","CDI","C","O",1657,"431f","47"
41429,"ct_9","tr_0",9784,"IZ","CDI","P","O",955,"561c","47"
41437,"ct_9","tr_4",12297,"HZ","CDI","C","O",847,"641b","47"
41449,"ct_9","tr_4",8636,"NZ","TOA","C","O",866,"691c","47"
41451,"ct_9","tr_6",69528,"DZ","CDI","C","O",1803,"387e","82"
41463,"ct_9","tr_1",37301,"HZ","CDI","C","O",1820,"374d","47"
41465,"ct_9","tr_5",17053,"HZ","CDI","C","O",1696,"521a","47"
41472,"ct_9","tr_6",13577,"GZ","CDI","C","O",1390,"652a","47"
41473,"ct_2","tr_3",7800,"OZ","CDD","C","O",805,"524c","47"
41484,"ct_1","tr_5",25666,"OZ","AUT","C","O",1820,"523b","47"
41493,"ct_9","tr_5",27836,"CA","CDI","C","O",1820,"431f","47"
41516,"ct_9","tr_2",19647,"KZ","CDI","C","O",2553,"467a","47"
41523,"ct_9","tr_3",16495,"MA","CDI","P","O",1259,"461d","47"
41525,"ct_9","tr_1",26064,"GZ","CDI","C","O",1866,"487a","47"
41528,"ct_8","tr_1",9955,"RZ","CDI","C","O",1018,"543h","47"
41537,"ct_8","tr_3",21866,"QB","CDI","C","O",1655,"461b","47"
41550,"ct_7","tr_1",4555,"QB","CDI","N","O",1248,"563a","47"
41570,"ct_8","tr_3",14396,"QB","CDI","C","O",1466,"526d","47"
41572,"ct_9","tr_3",12765,"GZ","CDI","P","O",1607,"461d","47"
41588,"ct_1","tr_4",22621,"PZ","CDI","C","O",1820,"422a","47"
41593,"ct_9","tr_5",25718,"GZ","CDI","C","O",1856,"461d","47"
41597,"ct_9","tr_3",22758,"GZ","CDI","C","O",1961,"634c","33"
41610,"ct_9","tr_1",5202,"GZ","CDD","C","O",601,"543f","33"
41612,"ct_9","tr_1",25358,"JA","CDI","C","O",1820,"542a","47"
41626,"ct_9","tr_5",32203,"GZ","CDI","C","O",2028,"462b","47"
41629,"ct_9","tr_2",8468,"IZ","CDI","P","O",760,"561d","33"
41637,"ct_8","tr_2",29197,"OZ","CDI","C","O",1912,"545d","47"
41646,"ct_9","tr_6",21717,"CL","CDI","C","O",1388,"624e","47"
41650,"ct_9","tr_3",31589,"CK","CDI","C","O",2024,"462c","47"
41653,"ct_7","tr_0",11244,"QB","CDI","N","O",2513,"563a","47"
41661,"ct_8","tr_4",30288,"QA","CDI","C","O",784,"432d","48"
41664,"ct_8","tr_4",18114,"QA","CDI","C","O",1714,"526a","48"
41691,"ct_9","tr_3",24618,"HZ","CDI","C","O",2200,"641a","63"
41693,"ct_9","tr_1",37567,"NZ","CDI","C","O",2172,"542a","48"
41712,"ct_8","tr_4",33278,"QA","CDI","C","O",1780,"432d","48"
41715,"ct_9","tr_1",19865,"FZ","CDI","C","O",1627,"681b","48"
41739,"ct_8","tr_3",28561,"QA","CDI","C","O",1727,"434d","48"
41759,"ct_9","tr_2",21571,"FZ","CDI","C","O",1839,"682a","48"
41762,"ct_8","tr_5",22790,"QB","CDI","P","O",2213,"526a","48"
41771,"ct_6","tr_1",15845,"GZ","CDI","C","O",1553,"636a","48"
41787,"ct_8","tr_4",35490,"PZ","CDI","C","O",1820,"341a","49"
41803,"ct_9","tr_1",17993,"CM","CDI","C","O",581,"553c","49"
41805,"ct_9","tr_3",6250,"NZ","CDD","C","O",652,"684a","49"
41814,"ct_9","tr_1",8181,"NZ","TTP","C","O",805,"632b","49"
41818,"ct_8","tr_4",11417,"PZ","CDI","P","O",938,"542a","49"
41820,"ct_9","tr_2",19675,"CH","CDI","C","O",1810,"623e","49"
41833,"ct_8","tr_2",8732,"PZ","CDI","P","O",1040,"525a","49"
41834,"ct_7","tr_1",4227,"TZ","CDI","N","O",658,"563c","49"
41839,"ct_9","tr_1",23219,"GZ","CDI","C","O",1780,"465a","44"
41841,"ct_9","tr_5",23023,"HZ","CDI","C","O",1572,"634c","49"
41842,"ct_5","tr_3",46391,"KZ","CDI","C","O",1824,"467a","49"
41845,"ct_9","tr_5",14250,"NZ","CDI","P","O",1647,"684a","49"
41849,"ct_9","tr_1",5821,"FZ","APP","C","A",1392,"681a","49"
41853,"ct_9","tr_6",17792,"CI","CDI","C","O",1594,"622d","49"
41854,"ct_9","tr_6",27581,"HZ","CDI","C","O",1811,"641b","49"
41865,"ct_9","tr_4",9281,"IZ","CDI","C","O",441,"636d","49"
41870,"ct_8","tr_1",34241,"QA","CDI","C","O",2349,"526b","49"
41871,"ct_8","tr_4",6256,"QB","CDI","C","O",1365,"676e","49"
41873,"ct_9","tr_3",29850,"FZ","CDI","C","O",1575,"632c","79"
41874,"ct_9","tr_3",8281,"JA","CDD","C","O",1516,"352a","75"
41875,"ct_8","tr_3",38982,"PZ","CDI","C","O",1820,"422b","49"
41878,"ct_9","tr_3",15900,"MA","CDI","C","O",887,"372b","33"
41879,"ct_9","tr_5",44563,"KZ","CDI","C","O",1820,"388a","72"
41883,"ct_9","tr_1",36774,"CH","CDI","C","O",2080,"373d","49"
41885,"ct_9","tr_3",38075,"KZ","CDI","C","O",1778,"372b","49"
41886,"ct_9","tr_6",32967,"CA","CDI","C","O",2079,"477b","49"
41901,"ct_9","tr_3",21542,"HZ","CDI","C","O",1823,"451a","49"
41908,"ct_8","tr_5",51364,"SZ","CDI","C","O",1851,"373c","75"
41917,"ct_9","tr_5",54721,"FZ","CDI","C","O",1820,"382c","53"
41929,"ct_9","tr_4",17756,"QA","CDI","C","O",1579,"526e","49"
41942,"ct_9","tr_6",38461,"FZ","CDI","C","O",1820,"373c","49"
41958,"ct_9","tr_2",20991,"MA","CDI","P","O",1454,"544a","37"
41965,"ct_9","tr_6",20546,"CG","CDI","C","O",1739,"652a","49"
41968,"ct_7","tr_1",15779,"QB","CDI","N","O",3000,"563a","49"
41970,"ct_9","tr_6",23603,"GZ","AUT","N","O",3000,"463e","59"
41977,"ct_9","tr_6",20619,"CK","CDI","C","O",1528,"543f","49"
41979,"ct_9","tr_6",19463,"CC","CDI","C","O",1826,"676c","85"
41983,"ct_9","tr_5",38356,"FZ","CDI","C","O",1708,"382c","72"
41984,"ct_9","tr_1",30009,"MA","CDI","C","O",1932,"461e","49"
41989,"ct_9","tr_1",15242,"IZ","CDI","C","O",1546,"561c","49"
41991,"ct_9","tr_5",31850,"CK","CDI","C","O",1626,"474b","49"
41993,"ct_9","tr_6",34895,"NZ","CDI","C","O",1596,"463d","94"
41994,"ct_3","tr_6",23147,"QA","AUT","C","O",1819,"526a","49"
41997,"ct_9","tr_1",3260,"NZ","TTP","N","O",328,"676a","49"
42002,"ct_8","tr_4",22563,"QB","CDI","P","O",1096,"311d","49"
42009,"ct_9","tr_5",3660,"GZ","CDI","C","O",305,"636c","49"
42011,"ct_9","tr_3",25680,"CH","CDI","C","O",1770,"623d","49"
42013,"ct_8","tr_4",11818,"EZ","AUT","P","X",1261,"684b","49"
42021,"ct_9","tr_6",37564,"LZ","CDI","C","O",1769,"461e","49"
42031,"ct_9","tr_6",3615,"CL","APP","C","A",612,"543h","49"
42032,"ct_9","tr_3",28618,"GZ","CDI","C","O",2200,"634d","53"
42041,"ct_6","tr_1",2124,"GZ","APP","C","A",594,"554d","49"
42046,"ct_1","tr_6",11423,"OZ","CDI","P","O",1128,"422e","49"
42049,"ct_9","tr_5",15472,"CJ","CDI","C","O",1820,"373c","72"
42051,"ct_8","tr_4",50609,"SZ","CDI","C","O",3000,"382a","75"
42054,"ct_9","tr_3",23226,"GZ","CDI","C","O",1777,"634c","44"
42066,"ct_9","tr_3",13259,"GZ","AUT","C","X",1635,"543h","49"
42068,"ct_7","tr_0",2938,"QB","CDI","N","O",871,"563a","49"
42081,"ct_8","tr_2",33576,"QB","CDI","C","O",1842,"434a","49"
42083,"ct_9","tr_4",50573,"CH","CDI","C","O",1561,"463b","33"
42087,"ct_9","tr_6",17226,"CI","CDI","C","O",1489,"632k","49"
42089,"ct_9","tr_6",16441,"CJ","CDI","C","O",754,"387b","49"
42090,"ct_9","tr_1",4187,"FZ","APP","C","A",926,"681b","49"
42092,"ct_9","tr_1",1588,"GZ","APP","C","A",597,"682a","49"
42097,"ct_8","tr_1",11486,"SZ","CDI","P","O",1293,"526c","49"
42101,"ct_8","tr_1",16723,"SZ","CDI","P","O",1665,"435a","49"
42103,"ct_9","tr_1",9679,"GZ","APP","C","A",1717,"554f","49"
42114,"ct_8","tr_3",17066,"PZ","CDI","C","O",1739,"422e","49"
42128,"ct_9","tr_4",27487,"FZ","CDI","C","O",1281,"382a","49"
