PRIMARY_KEY,Economic_sector,FORMER_DEP,JOB_DEP,work_description,TYPE_OF_CONTRACT,labor_force_status,WORK_CONDITION,Employer_category,WORKING_HOURS,employee_count
51082,"GZ",NA,NA,"652a","CDI","O","C","ct_9",1820,"tr_3"
51092,"QB","43","43","526d","CDI","O","P","ct_8",1456,"tr_4"
51112,"QB","63","63","563a","CDI","O","N","ct_7",3000,"tr_1"
51123,"NZ","76","76","684a","CDI","O","P","ct_9",1770,"tr_4"
51125,"CM","39","39","673c","CDI","O","C","ct_9",498,"tr_1"
51127,"MB","75","93","385a","CDI","O","C","ct_9",1820,"tr_6"
51129,"PZ","33","33","373d","CDI","O","C","ct_9",1820,"tr_5"
51153,"QA","04","04","526e","CDI","O","C","ct_9",2200,"tr_2"
51157,"OZ","92","92","523b","AUT","O","C","ct_1",1559,"tr_6"
51158,"QB","44","44","525d","CDI","O","P","ct_8",1274,"tr_4"
51167,"FZ","72","72","632g","CDI","O","C",NA,409,NA
51169,"HZ","95","93","652a","CDI","O","C","ct_9",1752,"tr_6"
51179,"HZ","65","65","628g","CDI","O","C","ct_9",1423,"tr_5"
51187,"KZ","78","95","462e","CDI","O","C","ct_9",1820,"tr_3"
51200,"PZ","14","14","525b","CDI","O","P","ct_8",841,"tr_2"
51213,"QB","69","69","563a","CDI","O","N","ct_7",3000,"tr_1"
51214,"OZ","33","33","344b","CDI","O","P","ct_1",1456,"tr_2"
51223,"OZ","34","34","461f","CDI","O","C","ct_1",1820,"tr_5"
51238,"FZ",NA,NA,"472c","CDI","O","C","ct_9",1534,"tr_0"
51240,"NZ","94","94","564a","CDI","O","N","ct_8",758,"tr_0"
51247,"FZ","39","21","632g","CDI","O","C","ct_9",1820,"tr_1"
51269,"HZ","35","22","641a","CDI","O","C","ct_9",2200,"tr_4"
51270,"NZ","76","92","684a","CDI","O","C",NA,1315,"tr_1"
51272,"PZ","06","06","422a","CDI","O","C","ct_1",1820,"tr_4"
51295,"NZ","94","94","684a","CDI","O","P","ct_8",2062,"tr_1"
51300,"QA","31","31","542a","CDI","O","C","ct_9",1578,"tr_5"
51304,"CL","57","57","624c","CDI","O","C",NA,161,NA
51309,"GZ","83","83","634c","CDI","O","C","ct_9",713,"tr_5"
51334,"CI","06","06","388a","CDI","O","C","ct_9",1820,"tr_4"
51355,"GZ","94","38","462b","CDI","O","C","ct_9",1702,"tr_3"
51388,"QA","50","14","541c","CDD","O","P","ct_6",807,"tr_1"
51389,"FZ","12","12","632g","CDI","O","C","ct_9",1163,"tr_3"
51390,"JC","78","78","461c","CDI","O","C","ct_9",455,"tr_3"
51391,"OZ","38","38","332b","CDI","O","C","ct_2",1855,"tr_6"
51393,"KZ","17","16","545c","CDI","O","C","ct_6",1566,"tr_1"
51394,"QB","78","78","563a","CDI","O","N","ct_7",3000,"tr_1"
51398,"GZ","77","77","551a","CDI","O","P","ct_9",743,"tr_3"
51410,"CC","69","69","675c","CDI","O","C","ct_9",1957,"tr_2"
51424,"QB","76","76","525d","CDI","O","C","ct_9",1767,"tr_4"
51429,"SZ","92","75","461b","CDI","O","C","ct_8",1919,"tr_5"
51433,"FZ","66","66","472c","CDI","O","C","ct_9",1715,"tr_1"
51441,"LZ","75","75","543b","CDI","O","P","ct_9",910,"tr_1"
51447,"QB","41","41","542a","CDI","O","C","ct_8",1820,"tr_4"
51465,"RZ","75","75","464a","CDD","O","C","ct_8",1062,"tr_0"
51470,"LZ","05","13","632k","CDI","O","C","ct_9",1462,"tr_1"
51476,"RZ","77","77","465b","CDD","O","N","ct_5",537,"tr_3"
51485,"PZ","01","01","422b","CDI","O","C","ct_8",1846,"tr_4"
51500,"QB","15","15","431f","CDI","O","P","ct_8",1282,"tr_4"
51503,"MA","27","27","563b","CDD","O","C","ct_8",497,"tr_4"
51519,"QB","86","86","434d","CDI","O","C","ct_8",1820,"tr_5"
51522,"CK","67","67","653a","CDI","O","C","ct_9",1863,"tr_6"
51536,"PZ","74","74","341a","CDI","O","C","ct_8",1820,"tr_5"
51544,"MA","37","37","385a","CDI","O","C","ct_9",763,"tr_3"
51550,"QB","78","78","526a","CDI","O","C","ct_8",1826,"tr_6"
51558,"JA","94","92","684a","CDD","O","P","ct_9",1262,"tr_3"
51573,"CJ","27","27","473c","CDI","O","C","ct_9",1789,"tr_3"
51589,"OZ","71","71","545d","CDI","O","C","ct_8",691,"tr_5"
51615,"NZ","30","30","684a","CDI","O","P","ct_9",2277,"tr_5"
51620,"QB","72","72","563a","CDI","O","N","ct_7",3000,"tr_0"
51623,"OZ","83","06","333a","CDI","O","C","ct_1",1820,"tr_3"
51625,"QB","27","27","479b","CDI","O","P","ct_8",1612,"tr_3"
51627,"PZ","62","59","422d","CDI","O","C","ct_8",1820,"tr_4"
51628,"OZ","76","76","523b","AUT","O","C","ct_1",1820,"tr_5"
51630,"IZ","55","55","561f","CDI","O","P",NA,368,NA
51633,"SZ","51","51","675a","CDI","O","C","ct_9",1295,"tr_1"
51641,"PZ","95","93","422a","CDI","O","C","ct_1",1820,"tr_4"
51644,"QA","59","59","461b","CDI","O","P","ct_6",1200,"tr_1"
51654,"FZ","91","91","632k","CDI","O","C","ct_9",1596,"tr_1"
51659,"CG","54","54","484b","CDI","O","C","ct_9",1371,"tr_6"
51660,"NZ","95","77","534a","CDI","O","C","ct_9",604,"tr_6"
51667,"QA","78","92","526b","CDI","O","P","ct_8",1496,"tr_6"
51691,"NZ","49","49","691e","CDI","O","C","ct_9",1526,"tr_1"
51726,"GZ",NA,NA,"643a","CDI","O","C","ct_9",913,"tr_2"
51729,"MA","77","77","461d","CDI","O","C","ct_9",1997,"tr_1"
51748,"HZ","71","71","676d","CDI","O","C","ct_6",1324,"tr_1"
51751,"QB","88","88","525d","CDI","O","C",NA,150,NA
51757,"CG","59","59","674d","CDI","O","C","ct_9",1753,"tr_5"
51774,"GZ","44","44","554b","CDI","O","C","ct_9",1911,"tr_4"
51777,"FZ","29","29","632a","CDI","O","C","ct_9",1820,"tr_1"
51778,"QB","64","64","563a","CDI","O","N","ct_7",2889,"tr_1"
51783,"MB","78","94","333e","CDI","O","C","ct_1",1820,"tr_6"
51792,"GZ",NA,"06","643a","CDI","O","C","ct_9",1602,"tr_1"
51794,"QB","14","14","434f","CDI","O","C","ct_8",1820,"tr_5"
51801,"QB","41","41","632k","CDI","O","C","ct_8",1987,"tr_3"
51805,"NZ","76","76","684a","CDI","O","P","ct_9",1512,"tr_5"
51815,"QB","31","31","431f","CDI","O","P","ct_8",1430,"tr_4"
51821,"SZ","53","53","681a","AUT","X","P","ct_8",477,"tr_1"
51833,"NZ","06","06","652a","CDI","O","C","ct_9",1557,"tr_1"
51857,"CH","80","80","673c","CDI","O","C","ct_9",1701,"tr_5"
51860,"CG","85","85","625c","CDI","O","C","ct_9",1696,"tr_4"
51861,"MA","92","92","373b","CDI","O","C","ct_9",1911,"tr_6"
51862,"GZ","29","29","551a","CDI","O","P","ct_9",1098,"tr_5"
51878,"PZ","27","76","525b","CDI","O","C","ct_8",700,"tr_4"
51886,"MA","89","89","542a","CDI","O","C","ct_9",2005,"tr_2"
51893,"CC","17","17","543h","CDI","O","P","ct_9",1248,"tr_1"
51894,"HZ","93","77","676b","CDD","O","C","ct_9",1764,"tr_2"
51906,"FZ","52","10","621e","CDI","O","C","ct_9",707,"tr_4"
51927,"PZ","74","74","525a","CDI","O","P","ct_8",1880,"tr_2"
51930,"AZ","01","01","554a","CDI","O","C",NA,291,NA
51944,"CB","77","93","635a","CDI","O","C","ct_9",1639,"tr_5"
51959,"CE","95","95","484a","CDI","O","C","ct_9",1832,"tr_5"
51968,"IZ","21","21","561b","CDI","O","C","ct_9",1223,"tr_1"
52002,"NZ","50","50","676e","TTP","O","C","ct_9",1744,"tr_1"
52003,"OZ","83","83","531a","AUT","O","C","ct_1",910,"tr_6"
52007,"KZ","44","44","545c","CDI","O","C","ct_9",1751,"tr_3"
52015,"HZ","59","59","643a","CDI","O","C","ct_9",1820,"tr_4"
52034,"HZ","61","61","451a","CDI","O","P","ct_9",747,"tr_2"
52043,"QB","15","15","543g","CDI","O","C","ct_8",1820,"tr_2"
52057,"QB","84","84","542a","CDI","O","C","ct_8",733,"tr_4"
52073,"QB","42","42","563b","CDI","O","P","ct_8",1119,"tr_6"
52074,"QB","17","17","563b","CDI","O","N","ct_7",1213,"tr_1"
52095,"CG","68","68","676c","CDI","O","C","ct_9",1637,"tr_3"
52101,"CL","60","78","384a","CDI","O","C","ct_9",1731,"tr_6"
52110,"GZ","34","34","692a","CDI","O","C","ct_9",1726,"tr_2"
52112,"FZ","35","35","633a","CDI","O","C","ct_9",1708,"tr_4"
52114,"NZ","79","79","691d","TOA","O","C","ct_8",323,"tr_5"
52116,"OZ","67","67","524c","AUT","X","P","ct_2",884,"tr_6"
52127,"GZ",NA,"64","684a","CDD","O","P",NA,156,NA
52139,"QB","06","06","526d","CDI","O","P","ct_8",609,"tr_1"
52146,"QA","33","33","525d","CDI","O","C","ct_8",1603,"tr_3"
52150,"GZ","92","91","641a","CDI","O","C","ct_9",184,"tr_6"
52174,"GZ","66","66","462a","CDI","O","C","ct_9",1708,"tr_1"
52192,"OZ","41","41","621f","CDI","O","C",NA,269,NA
52198,"GZ","35","35","634c","CDI","O","C","ct_9",163,"tr_1"
52200,"MC","26","92","553c","CDD","O","C","ct_9",1469,"tr_0"
52205,"HZ","59","59","481a","CDI","O","C","ct_9",1742,"tr_2"
52213,"FZ","45","45","632j","CDI","O","C","ct_9",776,"tr_3"
52222,"QB","78","78","526a","CDI","O","C","ct_8",2890,"tr_3"
52233,"OZ","93","93","461f","CDI","O","C","ct_1",1820,"tr_6"
52251,"QB","88","88","525d","CDI","O","P","ct_8",1209,"tr_4"
52254,"HZ","64","64","641b","CDI","O","C","ct_9",1645,"tr_6"
52270,"QB","78","78","434g","CDI","O","C","ct_8",1816,"tr_2"
52308,"MA","62","59","542a","CDI","O","C","ct_9",1603,"tr_1"
52310,"CK","81","81","543b","CDI","O","P","ct_9",1625,"tr_1"
52323,"HZ","14","14","641b","CDI","O","C",NA,236,NA
52331,"CL","75","78","673c","CDI","O","C","ct_9",1308,"tr_6"
52332,"NZ","45","45","525d","CDI","O","C","ct_9",1780,"tr_4"
52333,"QB",NA,NA,"525d","CDI","O","P","ct_3",1526,"tr_5"
52345,"OZ","75","75","524c","AUT","X","C","ct_2",1820,"tr_6"
52346,"CF","91","91","475b","CDI","O","C","ct_9",1820,"tr_6"
52364,"OZ","06","06","451g","CDI","O","C","ct_2",1820,"tr_6"
52365,"GZ","31","31","676c","CDI","O","C","ct_9",1736,"tr_3"
52372,"CB","03","03","675a","CDI","O","P","ct_9",608,"tr_6"
52375,"QB","91","91","526a","CDI","O","C","ct_9",1827,"tr_4"
52381,"GZ","85","85","684a","CDD","O","C",NA,499,NA
52384,"QA","86","86","526b","CDI","O","C","ct_6",660,"tr_0"
52401,"CC","53","53","627f","CDI","O","C","ct_9",1815,"tr_5"
52417,"IZ","76","76","423b","CDI","O","C",NA,130,NA
52433,"OZ","05","36","452b","CDI","O","C",NA,129,NA
52436,"IZ","31","31","676a","CDI","O","C","ct_9",1820,"tr_1"
52445,"QB","69","69","486e","CDI","O","C","ct_8",1820,"tr_4"
52447,"OZ","07","07","524c","AUT","X","P","ct_2",1377,"tr_6"
52458,"QA","64","64","526e","CDI","O","C","ct_9",1954,"tr_3"
52459,"QB","33","33","563a","CDI","O","N","ct_7",3000,"tr_0"
52480,"PZ","59","59","423a","CDD","O","C","ct_6",285,"tr_1"
52494,"NZ","71","71","684a","CDI","O","P","ct_9",1714,"tr_6"
52495,"CL","95","92","474c","CDI","O","P","ct_9",1263,"tr_6"
52496,"MC","91","77","643a","CDI","O","C",NA,257,NA
52519,"CI","41","41","672a","CDI","O","C","ct_9",1820,"tr_5"
52528,"TZ","49","49","563c","AUT","O","P",NA,176,NA
52553,"GZ","21","21","653a","CDI","O","C","ct_9",1669,"tr_4"
52572,"NZ","59","59","676e","CDI","O","C","ct_9",520,"tr_6"
52575,"QB","01","01","526d","CDI","O","C","ct_8",1555,"tr_3"
52581,"NZ","47","47","543b","CDD","O","C","ct_8",1519,"tr_1"
52589,"GZ","71","71","676c","CDI","O","C","ct_9",1282,"tr_3"
52592,"SZ","84","13","542a","CDI","O","C","ct_8",1062,"tr_3"
52594,"SZ","49","49","435b","CDI","O","C",NA,578,NA
52596,"PZ","93","93","422c","CDI","O","C","ct_8",2260,"tr_5"
52599,"NZ","94","91","684a","CDI","O","P","ct_9",717,"tr_6"
52606,"GZ",NA,NA,"636d","CDI","O","C","ct_9",1466,"tr_1"
52614,"PZ","29","29","422c","CDI","O","P","ct_8",1736,"tr_5"
52617,"HZ","18","85","641a","CDI","O","C","ct_9",1892,"tr_6"
52627,"CG","77","72","632j","CDI","O","C","ct_9",1857,"tr_3"
52661,"QB","29","29","525d","CDI","O","P","ct_8",1530,"tr_4"
52679,"CB","43","43","476b","CDI","O","C","ct_9",171,"tr_5"
52700,"NZ","77","77","652a","CDI","O","C","ct_9",1820,"tr_5"
52717,"QB","85","85","563b","CDI","O","P","ct_8",1380,"tr_3"
52725,"GZ","54","54","624b","CDI","O","C","ct_9",1706,"tr_3"
52741,"EZ","60","60","684b","CDI","O","C","ct_9",1231,"tr_1"
52743,"MA","76","76","543b","CDI","O","C","ct_9",1820,"tr_1"
52744,"CE","91","91","674a","CDI","O","C","ct_9",1820,"tr_4"
52759,"QA","95","95","523d","CDI","O","C","ct_3",452,"tr_6"
52773,"TZ","85","85","563c","CDI","O","C",NA,1423,NA
52790,"EZ","88","88","621f","CDI","O","C",NA,667,NA
52793,"QB","59","59","333f","CDI","O","C","ct_2",1915,"tr_4"
52807,"NZ","84","84","684a","CDI","O","P",NA,172,"tr_1"
52817,"GZ","62","62","552a","CDI","O","P","ct_9",1362,"tr_4"
52841,"OZ","95","95","333f","CDI","O","C","ct_2",1820,"tr_6"
52842,"CL","31","31","387a","CDI","O","C","ct_9",1392,"tr_6"
52843,"MA","75","75","472b","CDI","O","C","ct_9",1976,"tr_4"
52853,"NZ","03","03","684a","CDI","O","P","ct_9",1001,"tr_5"
52876,"GZ","29","29","643a","CDI","O","C","ct_9",666,"tr_2"
52885,"QA","04","04","526a","CDI","O","C","ct_9",2006,"tr_5"
52902,"OZ","52","52","523b","CDI","O","P",NA,152,NA
52904,"QB","61","61","434e","CDI","O","C","ct_8",1482,"tr_1"
52918,"OZ","57","57","524c","CDI","O","P","ct_2",870,"tr_5"
52924,"KZ","59","92","372a","CDI","O","C","ct_9",1553,"tr_5"
52929,"QB","79","79","543b","CDI","O","P","ct_8",1437,"tr_3"
52931,"KZ","92","92","388c","CDI","O","C","ct_9",1820,"tr_6"
52962,"OZ","46","46","451e","CDI","O","P","ct_8",1627,"tr_1"
52963,"IZ","75","93","561d","CDI","O","P","ct_9",343,"tr_3"
52964,"GZ","35","35","676c","CDI","O","C","ct_9",1213,"tr_1"
52966,"GZ","77","94","465a","CDI","O","C","ct_9",1820,"tr_1"
52967,"QB","33","33","525d","CDI","O","P","ct_9",483,"tr_4"
52969,"CH","25","90","623d","CDI","O","P","ct_9",1479,"tr_5"
52983,"CB","22","22","635a","CDI","O","C","ct_9",1316,"tr_1"
52985,"HZ","06","06","643a","CDI","O","C","ct_9",1820,"tr_5"
52987,"PZ","33","33","422b","AUT","O","C","ct_1",1820,"tr_4"
52994,"FZ","78","91","543g","CDI","O","C","ct_9",1246,"tr_2"
53015,"GZ","06","06","554b","CDI","O","C","ct_9",1049,"tr_1"
53019,"TZ",NA,NA,"563c","CDI","O","N","ct_7",1827,"tr_1"
53021,"OZ","93","93","376f","CDI","O","C","ct_8",515,"tr_6"
53024,"CL","67","67","674d","CDI","O","C","ct_9",1492,"tr_6"
53026,"QA","31","31","526a","CDI","O","C","ct_8",1669,"tr_6"
53033,"QA",NA,NA,"525d","CDI","O","C","ct_9",2052,"tr_4"
53047,"OZ",NA,NA,"524b","CDI","O","C","ct_1",1820,"tr_4"
53066,"CA","62","62","674c","CDI","O","C","ct_9",1287,"tr_5"
53085,"HZ","62","62","676a","CDI","O","C","ct_9",712,"tr_5"
53099,"KZ","33","33","467a","CDI","O","C","ct_9",1014,"tr_5"
53107,"NZ","69","69","543f","TTP","O","N","ct_9",376,"tr_1"
53119,"OZ","71","71","451g","CDI","O","C","ct_2",1843,"tr_6"
53135,"FZ","29","29","632g","CDI","O","C","ct_9",1693,"tr_3"
53140,"NZ","85","85","684a","AUT","X","P","ct_9",1052,"tr_3"
53157,"GZ","28","28","634c","CDI","O","C","ct_9",1439,"tr_1"
53166,"TZ","01","01","563c","AUT","O","C",NA,182,NA
53167,"QA","06","06","523d","AUT","O","C","ct_3",1819,"tr_6"
53171,"NZ","57","57","632k","CDI","O","P","ct_9",807,"tr_5"
53199,"QA","54","54","526c","CDI","O","C","ct_8",1820,"tr_6"
53204,"HZ","05","05","641a","CDI","O","C","ct_9",1782,"tr_3"
53209,"NZ","14","14","684a","CDI","O","P","ct_9",494,"tr_4"
53222,"LZ","13","13","564a","CDI","O","C","ct_5",1560,"tr_6"
53226,"QB","13","13","526d","CDI","O","C","ct_8",1786,"tr_4"
53235,"QB","86","86","563b","CDI","O","P","ct_8",1127,"tr_2"
53236,"TZ","62","62","563c","CDI","O","N","ct_7",376,"tr_1"
53241,"GZ","33","33","461d","CDI","O","C","ct_9",1890,"tr_1"
53245,"QB","67","67","563a","CDI","O","C","ct_8",766,"tr_3"
53270,"NZ","29","29","691c","CDI","O","P","ct_8",1096,"tr_2"
53280,"CG","38","38","674d","CDI","O","C","ct_9",1329,"tr_5"
53286,"QA","33","33","432d","CDI","O","P","ct_6",331,"tr_1"
53290,"FZ","74","74","671c","CDI","O","C","ct_9",1451,"tr_5"
53292,"QB","92","92","563b","CDI","O","P","ct_8",1087,"tr_3"
53313,"QA","17","17","526e","CDI","O","P","ct_9",1924,"tr_3"
53316,"NZ","60","60","684a","CDI","O","P","ct_9",1105,"tr_6"
53332,"CM","95","95","383a","CDI","O","C","ct_9",1820,"tr_6"
53339,"GZ",NA,NA,"534a","CDI","O","P","ct_9",208,"tr_1"
53340,"PZ","74","74","422c","CDI","O","P","ct_8",392,"tr_2"
53367,"CH","53","53","626b","CDI","O","C","ct_9",1647,"tr_6"
53374,"FZ","95","78","681a","CDD","O","C","ct_9",971,"tr_1"
53378,"QB","75","91","423b","CDI","O","P","ct_8",645,"tr_3"
53383,"GZ","77","94","543g","CDI","O","C","ct_9",1820,"tr_2"
53385,"GZ","89","89","676c","CDI","O","C","ct_9",455,"tr_3"
53386,"QB","30","30","525d","CDI","O","C","ct_8",1562,"tr_2"
53391,"QA","21","21","525d","CDI","O","C","ct_8",1848,"tr_3"
53392,"TZ","13","13","563c","CDI","O","C",NA,346,NA
53393,"QB","66","66","525d","CDI","O","C","ct_8",1830,"tr_4"
53400,"FZ","49","44","632a","CDI","O","P","ct_9",1495,"tr_2"
53403,"HZ","31","31","643a","CDI","O","C","ct_9",2316,"tr_3"
53414,"QB","94","94","676e","AUT","O","C","ct_8",1819,"tr_5"
53442,"DZ","95","92","485a","CDI","O","C","ct_9",759,"tr_6"
53454,"QB","28","28","563a","CDI","O","N","ct_7",767,"tr_0"
53456,"KZ","55","55","526b","CDI","O","C","ct_9",1248,"tr_1"
53462,"QA","13","13","684a","CDI","O","P","ct_8",452,"tr_1"
53475,"QA","29","29","526e","CDI","O","C","ct_9",1789,"tr_3"
53494,"QB","29","29","525d","AUT","X","P","ct_2",436,"tr_3"
53506,"QB","81","81","434e","CDI","O","C","ct_8",917,"tr_4"
53511,"FZ","92","92","621b","CDI","O","C","ct_9",1517,"tr_2"
53514,"QB","91","91","563b","CDI","O","P","ct_8",217,"tr_3"
53521,"GZ","53","75","463e","CDI","O","N","ct_9",1490,"tr_0"
53522,"FZ","16","24","641a","CDI","O","C","ct_9",420,"tr_5"
53523,"CM","42","42","623a","CDI","O","C","ct_9",1810,"tr_4"
53525,"CI","50","50","383a","CDI","O","C","ct_9",1602,"tr_5"
53539,"QB","42","42","563b","CDI","O","P","ct_8",1208,"tr_6"
53546,"SZ","45","45","563b","CDI","O","C","ct_9",1741,"tr_2"
53550,"QB","59","59","563b","CDI","O","C",NA,188,NA
53559,"QA","43","42","344a","CDI","O","C","ct_9",1820,"tr_5"
53562,"CK","77","94","486e","CDI","O","C","ct_9",1469,"tr_5"
53573,"TZ",NA,NA,"563c","CDI","O","N","ct_7",746,"tr_1"
53584,"CL","60","60","673c","CDI","O","C","ct_9",553,"tr_6"
53592,"GZ","68","68","641a","CDI","O","P","ct_9",569,"tr_1"
53602,"QA","24","24","526a","CDI","O","C","ct_9",1517,"tr_6"
53603,"KZ","01","01","542a","CDI","O","C","ct_9",1757,"tr_1"
53609,"IZ","83","83","561f","TOA","O","C","ct_9",972,"tr_0"
53612,"QB","10","10","563b","CDI","O","P","ct_8",1286,"tr_3"
53621,"HZ","34","34","643a","CDI","O","C","ct_9",1393,"tr_5"
53648,"QA","66","66","542a","CDI","O","P","ct_6",1352,"tr_1"
53654,"FZ","76","92","676a","CDI","O","C","ct_9",1388,"tr_2"
53663,"GZ","74","74","653a","CDI","O","C","ct_9",601,"tr_3"
53700,"CG","64","44","374d","CDI","O","C","ct_9",1743,"tr_6"
53710,"GZ","84","13","643a","CDI","O","C","ct_9",1225,"tr_4"
53724,"QA","01","71","526b","CDI","O","C","ct_9",1666,"tr_1"
53725,"AZ","69","69","691e","CDI","O","N",NA,194,NA
53726,"FZ","13","13","461d","CDI","O","C","ct_9",1642,"tr_5"
53737,"TZ","87","87","563c","CDI","O","C",NA,303,NA
53741,"NZ","72","72","534a","CDD","O","P","ct_9",1124,"tr_5"
53744,"TZ","44","44","563c","CDI","O","C",NA,392,NA
53761,"HZ","49","49","643a","CDI","O","C","ct_9",1832,"tr_3"
53767,"QA","44","44","431f","CDI","O","C","ct_8",1056,"tr_2"
53770,"GZ","94","75","554b","CDI","O","P","ct_9",777,"tr_1"
53783,"NZ","77","44","676c","TTP","O","C","ct_9",536,"tr_5"
53793,"GZ","78","78","634d","CDI","O","C","ct_9",1517,"tr_4"
53796,"NZ","92","92","564a","CDI","O","N","ct_8",1305,"tr_0"
53803,"CG","74","74","676c","CDI","O","C","ct_9",1964,"tr_3"
53812,"HZ","91","91","676c","CDI","O","C","ct_9",1993,"tr_6"
53827,"OZ","80","80","563b","AUT","O","P","ct_2",1605,"tr_5"
53837,"QB","42","42","525d","CDI","O","P","ct_8",752,"tr_5"
53845,"FZ","40","40","632a","CDI","O","P","ct_9",192,"tr_1"
53871,"OZ","75","75","525b","AUT","O","C","ct_2",1820,"tr_6"
53873,"GZ","22","22","433d","CDI","O","C","ct_9",1557,"tr_2"
53919,"GZ","67","67","676c","CDI","O","P","ct_9",802,"tr_6"
53923,"KZ","23","23","467a","CDI","O","C","ct_9",1820,"tr_1"
53946,"PZ","45","45","422e","CDI","O","C","ct_8",1379,"tr_3"
53947,"GZ","33","13","463c","CDI","O","C","ct_9",1820,"tr_1"
53950,"QB","64","64","676c","CDD","O","P","ct_8",1612,"tr_3"
53959,"PZ","74","73","564b","CDD","O","P","ct_1",905,"tr_6"
53961,"KZ","59","59","545c","CDI","O","C","ct_8",1820,"tr_5"
53963,"QB","84","84","525d","CDI","O","C","ct_9",640,"tr_4"
53970,"HZ","13","13","684a","CDI","O","P","ct_9",944,"tr_5"
53988,"NZ","11","31","525d","CDI","O","P","ct_9",1239,"tr_6"
53999,"PZ","71","21","542a","CDI","O","C","ct_8",1144,"tr_3"
54048,"PZ",NA,NA,"422b","CDI","O","C","ct_4",1924,"tr_3"
54064,"CA","59","59","674c","CDI","O","C","ct_9",1830,"tr_5"
54065,"QA","69","69","461b","CDI","O","C","ct_9",1820,"tr_5"
54072,"NZ","95","93","684a","CDI","O","P","ct_9",1000,"tr_6"
54080,"QA","65","65","525d","CDI","O","C","ct_3",1819,"tr_6"
54097,"HZ","56","56","643a","CDI","O","P","ct_9",456,"tr_0"
54100,"HZ","76","76","641b","CDI","O","P","ct_9",300,"tr_5"
54108,"QB","95","75","525d","CDI","O","C","ct_8",1820,"tr_1"
54112,"HZ","13","13","461f","CDI","O","C","ct_9",1708,"tr_3"
54117,"CE","08","08","674a","CDI","O","C","ct_9",1651,"tr_3"
54134,"FZ","49","49","477c","CDI","O","C","ct_9",1583,"tr_3"
54138,"NZ","78","78","684a","AUT","X","C","ct_9",1642,"tr_6"
54141,"QA","59","59","526a","CDI","O","C","ct_8",1820,"tr_3"
54143,"FZ","91","91","621e","CDI","O","C","ct_9",1414,"tr_4"
54144,"NZ","13","13","461d","CDI","O","C","ct_9",1827,"tr_4"
54160,"CA","92","92","684a","CDI","O","C","ct_9",1730,"tr_1"
54161,"QB","31","31","525d","CDI","O","C","ct_8",1812,"tr_3"
54167,"LZ","91","94","479b","CDI","O","C","ct_5",1820,"tr_5"
54177,"HZ","13","13","546c","CDI","O","C","ct_9",2053,"tr_1"
54184,"NZ","13","94","684a","CDI","O","C","ct_9",1167,"tr_6"
54197,"QA","71","71","526b","CDI","O","C","ct_9",1062,"tr_1"
54210,"NZ","17","17","672a","TTP","O","C","ct_9",1648,"tr_2"
54215,"FZ","94","77","632a","CDI","O","C","ct_9",1785,"tr_1"
54225,"OZ","75","75","333e","CDI","O","C","ct_1",1820,"tr_6"
54234,"HZ","29","29","526e","CDI","O","C","ct_9",2098,"tr_1"
54236,"NZ","75","93","534a","CDI","O","C",NA,359,"tr_5"
54240,"NZ","54","54","543g","TTP","O","C","ct_9",523,"tr_1"
54253,"CA","65","65","674b","CDI","O","C","ct_9",1790,"tr_6"
54266,"QA","93","93","526b","CDI","O","C","ct_8",1525,"tr_5"
54283,"GZ","62","62","655a","CDI","O","P","ct_9",284,"tr_3"
54286,"CH","44","44","652a","CDI","O","C","ct_9",1548,"tr_4"
54287,"GZ","44","44","344d","CDI","O","C","ct_9",703,"tr_2"
54290,"GZ","44","44","542a","CDI","O","C","ct_9",1669,"tr_0"
54297,"OZ","60","60","479b","CDI","O","P","ct_1",1456,"tr_3"
54300,"IZ","50","50","488a","CDI","O","C","ct_9",1318,"tr_1"
54308,"GZ","25","25","676c","CDI","O","C","ct_9",1640,"tr_5"
54323,"CA","44","44","674c","CDI","O","C","ct_9",525,"tr_5"
54328,"QB","62","62","632k","CDI","O","C","ct_3",1820,"tr_3"
54339,"FZ","95","75","685a","CDI","O","C","ct_9",1402,"tr_1"
54345,"GZ","38","38","461b","CDI","O","C","ct_9",1757,"tr_0"
54364,"GZ","69","69","462e","CDI","O","C","ct_9",255,"tr_3"
54372,"FZ","93","77","681b","CDI","O","C","ct_9",961,"tr_1"
54374,"NZ","52","51","684a","CDI","O","P","ct_9",431,"tr_5"
54401,"JB","70","90","374c","CDI","O","C","ct_9",1771,"tr_4"
54403,"OZ","78","78","451e","CDI","O","P","ct_8",1632,"tr_2"
54406,"JB","92","91","388a","CDI","O","C","ct_9",1820,"tr_6"
54415,"OZ","75","75","524b","CDI","O","C","ct_1",1213,"tr_6"
54420,"QA","58","58","526a","CDI","O","C","ct_3",1814,"tr_4"
54425,"CI","73","38","387e","CDI","O","C","ct_9",1820,"tr_6"
54436,"EZ","78","78","374d","CDI","O","C","ct_9",1820,"tr_3"
54448,"NZ","68","67","534a","CDI","O","C","ct_9",574,"tr_4"
54449,"PZ","77","94","541d","CDI","O","C","ct_4",1820,"tr_5"
54450,"QB","77","77","561d","CDI","O","P","ct_8",1509,"tr_1"
54452,"NZ","76","27","685a","CDI","O","C","ct_9",473,"tr_1"
54454,"PZ","49","44","422b","CDI","O","C","ct_8",1820,"tr_3"
54455,"HZ","06","06","461d","CDI","O","C","ct_9",1820,"tr_1"
